sample-id	year	month	day	year-month-day	sample_type	location	sampling_site	site_type	replicate_ID	sampling_site-year	sampling_site-year-month-day	sampling_site-sample_type	sampling_site-year-sample_type
A1	2019	5	30	2019-5-30	wet	Kreiser	KP1	inlet	A	KP1_2019	KP1_2019-05-30	KP1-wet	KP1_2019-wet
A2	2019	5	30	2019-5-30	wet	Kreiser	KP1	inlet	B	KP1_2019	KP1_2019-05-30	KP1-wet	KP1_2019-wet
A3	2019	5	30	2019-5-30	wet	Kreiser	KP2	inlet	A	KP2_2019	KP2_2019-05-30	KP2-wet	KP2_2019-wet
A4	2019	5	30	2019-5-30	wet	Kreiser	KP2	inlet	B	KP2_2019	KP2_2019-05-30	KP2-wet	KP2_2019-wet
A5	2019	5	30	2019-5-30	wet	Kreiser	KP3	outlet	A	KP3_2019	KP3_2019-05-30	KP3-wet	KP3_2019-wet
A6	2019	5	30	2019-5-30	wet	Kreiser	KP3	outlet	B	KP3_2019	KP3_2019-05-30	KP3-wet	KP3_2019-wet
A7	2019	6	4	2019-6-4	dry	Kreiser	KP1	inlet	A	KP1_2019	KP1_2019-06-04	KP1-dry	KP1_2019-dry
A8	2019	6	4	2019-6-4	dry	Kreiser	KP2	inlet	A	KP2_2019	KP2_2019-06-04	KP2-dry	KP2_2019-dry
B1	2019	6	4	2019-6-4	dry	Kreiser	KP2	inlet	B	KP2_2019	KP2_2019-06-04	KP2-dry	KP2_2019-dry
B2	2019	6	4	2019-6-4	dry	Kreiser	KP3	outlet	A	KP3_2019	KP3_2019-06-04	KP3-dry	KP3_2019-dry
B3	2019	6	4	2019-6-4	dry	Kreiser	KP3	outlet	B	KP3_2019	KP3_2019-06-04	KP3-dry	KP3_2019-dry
B4	2019	6	10	2019-6-10	wet	Kreiser	KP1	inlet	A	KP1_2019	KP1_2019-06-10	KP1-wet	KP1_2019-wet
B5	2019	6	10	2019-6-10	wet	Kreiser	KP2	inlet	A	KP2_2019	KP2_2019-06-10	KP2-wet	KP2_2019-wet
B6	2019	6	10	2019-6-10	wet	Kreiser	KP2	inlet	B	KP2_2019	KP2_2019-06-10	KP2-wet	KP2_2019-wet
B7	2019	6	10	2019-6-10	wet	Kreiser	KP3	outlet	A	KP3_2019	KP3_2019-06-10	KP3-wet	KP3_2019-wet
B8	2019	6	10	2019-6-10	wet	Kreiser	KP3	outlet	B	KP3_2019	KP3_2019-06-10	KP3-wet	KP3_2019-wet
C1	2019	6	18	2019-6-18	wet	Kreiser	KP1	inlet	A	KP1_2019	KP1_2019-06-18	KP1-wet	KP1_2019-wet
C2	2019	6	18	2019-6-18	dry	Kreiser	KP1	inlet	B	KP1_2019	KP1_2019-06-18	KP1-dry	KP1_2019-dry
C3	2019	6	18	2019-6-18	dry	Kreiser	KP2	inlet	A	KP2_2019	KP2_2019-06-18	KP2-dry	KP2_2019-dry
C4	2019	6	18	2019-6-18	dry	Kreiser	KP2	inlet	B	KP2_2019	KP2_2019-06-18	KP2-dry	KP2_2019-dry
C5	2019	6	18	2019-6-18	dry	Kreiser	KP3	outlet	A	KP3_2019	KP3_2019-06-18	KP3-dry	KP3_2019-dry
C6	2019	6	18	2019-6-18	dry	Kreiser	KP3	outlet	B	KP3_2019	KP3_2019-06-18	KP3-dry	KP3_2019-dry
C7	2019	7	18	2019-7-18	wet	Kreiser	KP1	inlet	A	KP1_2019	KP1_2019-07-18	KP1-wet	KP1_2019-wet
C8	2019	7	18	2019-7-18	wet	Kreiser	KP1	inlet	B	KP1_2019	KP1_2019-07-18	KP1-wet	KP1_2019-wet
D1	2019	7	18	2019-7-18	wet	Kreiser	KP1	inlet	C	KP1_2019	KP1_2019-07-18	KP1-wet	KP1_2019-wet
D2	2019	7	18	2019-7-18	wet	Kreiser	KP2	inlet	A	KP2_2019	KP2_2019-07-18	KP2-wet	KP2_2019-wet
D3	2019	7	18	2019-7-18	wet	Kreiser	KP2	inlet	B	KP2_2019	KP2_2019-07-18	KP2-wet	KP2_2019-wet
D4	2019	7	18	2019-7-18	wet	Kreiser	KP2	inlet	C	KP2_2019	KP2_2019-07-18	KP2-wet	KP2_2019-wet
D5	2019	7	18	2019-7-18	wet	Kreiser	KP3	outlet	A	KP3_2019	KP3_2019-07-18	KP3-wet	KP3_2019-wet
D6	2019	7	18	2019-7-18	wet	Kreiser	KP3	outlet	B	KP3_2019	KP3_2019-07-18	KP3-wet	KP3_2019-wet
D7	2019	7	18	2019-7-18	wet	Kreiser	KP3	outlet	C	KP3_2019	KP3_2019-07-18	KP3-wet	KP3_2019-wet
K1	2018	6	18	2018-6-18	dry	Kreiser	KP1	inlet	A	KP1_2018	KP1_2018-06-18	KP1-dry	KP1_2018-dry
K2	2018	6	18	2018-6-18	dry	Kreiser	KP1	inlet	B	KP1_2018	KP1_2018-06-18	KP1-dry	KP1_2018-dry
K3	2018	6	18	2018-6-18	dry	Kreiser	KP1	inlet	C	KP1_2018	KP1_2018-06-18	KP1-dry	KP1_2018-dry
K4	2018	6	18	2018-6-18	dry	Kreiser	KP2	inlet	A	KP2_2018	KP2_2018-06-18	KP2-dry	KP2_2018-dry
K5	2018	6	18	2018-6-18	dry	Kreiser	KP2	inlet	B	KP2_2018	KP2_2018-06-18	KP2-dry	KP2_2018-dry
K6	2018	6	18	2018-6-18	dry	Kreiser	KP2	inlet	C	KP2_2018	KP2_2018-06-18	KP2-dry	KP2_2018-dry
K7	2018	6	18	2018-6-18	dry	Kreiser	KP3	outlet	A	KP3_2018	KP3_2018-06-18	KP3-dry	KP3_2018-dry
K8	2018	6	18	2018-6-18	dry	Kreiser	KP3	outlet	B	KP3_2018	KP3_2018-06-18	KP3-dry	KP3_2018-dry
L1	2018	6	18	2018-6-18	dry	Kreiser	KP3	outlet	C	KP3_2018	KP3_2018-06-18	KP3-dry	KP3_2018-dry
L2	2018	6	22	2018-6-22	dry	Kreiser	KP1	inlet	A	KP1_2018	KP1_2018-06-22	KP1-dry	KP1_2018-dry
L3	2018	6	22	2018-6-22	dry	Kreiser	KP1	inlet	B	KP1_2018	KP1_2018-06-22	KP1-dry	KP1_2018-dry
L4	2018	6	22	2018-6-22	dry	Kreiser	KP1	inlet	C	KP1_2018	KP1_2018-06-22	KP1-dry	KP1_2018-dry
L5	2018	6	22	2018-6-22	dry	Kreiser	KP2	inlet	A	KP2_2018	KP2_2018-06-22	KP2-dry	KP2_2018-dry
L6	2018	6	22	2018-6-22	dry	Kreiser	KP2	inlet	B	KP2_2018	KP2_2018-06-22	KP2-dry	KP2_2018-dry
L7	2018	6	22	2018-6-22	dry	Kreiser	KP2	inlet	C	KP2_2018	KP2_2018-06-22	KP2-dry	KP2_2018-dry
L8	2018	6	22	2018-6-22	dry	Kreiser	KP3	outlet	A	KP3_2018	KP3_2018-06-22	KP3-dry	KP3_2018-dry
M1	2018	6	22	2018-6-22	dry	Kreiser	KP3	outlet	B	KP3_2018	KP3_2018-06-22	KP3-dry	KP3_2018-dry
M2	2018	6	22	2018-6-22	dry	Kreiser	KP3	outlet	C	KP3_2018	KP3_2018-06-22	KP3-dry	KP3_2018-dry
M3	2018	6	27	2018-6-27	wet	Kreiser	KP1	inlet	A	KP1_2018	KP1_2018-06-27	KP1-wet	KP1_2018-wet
M4	2018	6	27	2018-6-27	wet	Kreiser	KP1	inlet	B	KP1_2018	KP1_2018-06-27	KP1-wet	KP1_2018-wet
M5	2018	6	27	2018-6-27	wet	Kreiser	KP1	inlet	C	KP1_2018	KP1_2018-06-27	KP1-wet	KP1_2018-wet
M6	2018	6	27	2018-6-27	wet	Kreiser	KP2	inlet	A	KP2_2018	KP2_2018-06-27	KP2-wet	KP2_2018-wet
M7	2018	6	27	2018-6-27	wet	Kreiser	KP2	inlet	B	KP2_2018	KP2_2018-06-27	KP2-wet	KP2_2018-wet
M8	2018	6	27	2018-6-27	wet	Kreiser	KP2	inlet	C	KP2_2018	KP2_2018-06-27	KP2-wet	KP2_2018-wet
N1	2018	6	27	2018-6-27	wet	Kreiser	KP3	outlet	A	KP3_2018	KP3_2018-06-27	KP3-wet	KP3_2018-wet
N2	2018	6	27	2018-6-27	wet	Kreiser	KP3	outlet	B	KP3_2018	KP3_2018-06-27	KP3-wet	KP3_2018-wet
N3	2018	6	27	2018-6-27	wet	Kreiser	KP3	outlet	C	KP3_2018	KP3_2018-06-27	KP3-wet	KP3_2018-wet
N4	2018	7	2	2018-7-2	dry	Kreiser	KP1	inlet	A	KP1_2018	KP1_2018-07-02	KP1-dry	KP1_2018-dry
N5	2018	7	2	2018-7-2	dry	Kreiser	KP1	inlet	B	KP1_2018	KP1_2018-07-02	KP1-dry	KP1_2018-dry
N6	2018	7	2	2018-7-2	dry	Kreiser	KP1	inlet	C	KP1_2018	KP1_2018-07-02	KP1-dry	KP1_2018-dry
N7	2018	7	2	2018-7-2	dry	Kreiser	KP2	inlet	A	KP2_2018	KP2_2018-07-02	KP2-dry	KP2_2018-dry
